序号,所属专业,作业类别,作业任务,需进一步评估作业导致设备故障并引发电网风险的前置条件,需评估电网风险的设备故障情况,导致故障的过程
11,变电,预试,作业最小安全距离处于临界值（规程规定的最小安全距离）的临近带电设备作业,/,作业邻近带电设备失压,作业方法不当，人员或工具与带电设备距离过近，造成带电设备失压
12,变电,预试,设备区域内高度10米及以上的脚手架搭设、使用及拆除,脚手架倾倒范围内存在带电运行设备,脚手架倾倒范围内带电设备失压,脚手架搭设、使用及拆除方法不当，倾倒误碰带电设备导致失压
13,变电,预试,110kV-500kV变电站（换流站）站用直流电源改造负荷迁移（带电迁负荷）工作,/,接入新电源保护装置相应的一次设备失压,保护装置新电源接线错误导致跳闸回路导通，保护装置误动，引起相应的一次设备失压
14,变电,安装、更换,可能误碰带电设备的吊装作业,/,施工作业区域上方带电母线失压,吊装机械误碰施工作业区域上方带电母线导致失压
15,变电,其他,500kV、220kV双母N-1运行方式下在运行母线、运行母线相邻间隔、临近运行母线的作业,500kV、220kV双母N-1运行方式下作业,导致母线N-2失压故障,1.双母N-1运行方式下，在母线本体、与母线电气连接的运行设备上开展作业时导致运行母线失压。 2.双母N-1运行方式下，在母线相邻间隔设备上开展可能导致母线保护误动、绝缘破坏或存在人员、机具、材料与母线带电设备安全距离不足风险的作业导致运行母线失压。 3.双母N-1运行方式下，在母线本体、与母线电气连接的运行设备空间邻近区域，开展可能存在作业安全距离不足的作业运行母线失压。
16,变电,其他,双回线路N-1运行方式下在带电线路间隔、带电线路相邻间隔、临近带电线路间隔的作业,年运行方式明确的关键设备和重要设备（线路）、海南联网双回线路N-1运行方式下,导致关键线路和重要线路双回线路N-2故障,1.双回线路N-1运行方式下，在带电线路、线路开关运行间隔设备上开展作业导致关键线路和重要线路双回线路N-2故障。 2.双回线路N-1运行方式下，在带电线路单开关运行设备相邻间隔或临近区域上开展可能导致运行开关误动、带电设备绝缘破坏或存在人员、机具、材料与带电设备安全距离不足风险的作业导致关键线路和重要线路双回线路N-2故障。
17,变电,其他,两台并列运行主变N-1运行方式下在带电主变、带电主变相邻间隔、临近带电主变的作业,年运行方式明确的关键设备和重要设备（主变）N-1方式下,导致两台并列运行主变关键主变N-2故障,1.两台并列运行主变N-1运行方式下，在带电主变本体及其开关运行间隔设备上开展作业导致关键主变N-2。 2.两台并列运行主变N-1运行方式下，在带电主变本体及其单开关运行设备相邻间隔或空间邻近区域，开展可能导致运行开关误动、带电设备绝缘破坏或存在人员、机具、材料与带电设备安全距离不足风险的作业导致关键主变N-2。
18,变电,其他,换流站站用电相关作业,阀冷、换流变、平抗冷却器等失电可能直接导致直流闭锁的关键负荷进线电源N-1方式下,导致阀冷、换流变、平抗冷却器等失电可能直接导致直流闭锁的关键负荷进线电源失电,阀冷、换流变、平抗冷却器等失电可能直接导致直流闭锁的关键负荷进线电源N-1方式下，在运行电源上的检修作业，或其空间邻近设备上开展可能存在作业安全距离不足的作业导致关键负荷失电。
19,变电,检修,失去冗余后直流控制保护设备（单套运行）上开展检修作业,直流保护、极控、组控、阀控、阀冷控制系统等直流控制保护设备可能导致直流系统闭锁的N-1方式下（单套运行）,直流保护、极控、组控、阀控、阀冷控制系统等单套运行的直流控制保护设备故障导致直流系统闭锁,直流保护、极控、组控、阀控、阀冷控制系统等直流控制保护设备可能导致直流系统闭锁的N-1方式下，在单套运行保护上检修作业，因作业不当导致该保护退出运行，造成而直流系统失去保护而闭锁。
20,变电,操作,高压直流、500kV母线、主变停电检修等大中型检修停复电操作,防范三相短路单相拒动关键站点生产区域作业,作业导致三相短路或开关拒动,作业导致三相短路，以及作业不当遗留开关拒动隐患
21,变电,检修,500kV开关本体、机构箱、控制柜及二次回路检修作业,防范三相短路单相拒动关键站点生产区域作业,作业导致三相短路或开关拒动,作业导致三相短路，以及作业不当遗留开关拒动隐患
22,变电,检修,500kV开关保护及涉及跳闸回路拆改动作业,防范三相短路单相拒动关键站点生产区域作业,作业导致三相短路或开关拒动,作业导致三相短路，以及作业不当遗留开关拒动隐患
23,变电,检修,500kV三相变压器本体开展不停电检修作业,防范三相短路单相拒动关键站点生产区域作业,作业导致三相短路或开关拒动,作业导致三相短路，以及作业不当遗留开关拒动隐患
24,变电,检修,与500kV带电设备隔离的边界刀闸、地刀检修作业,防范三相短路单相拒动关键站点生产区域作业,作业导致三相短路或开关拒动,作业导致三相短路，以及作业不当遗留开关拒动隐患
25,变电,检修,需要装、拆500kV接地线的作业,防范三相短路单相拒动关键站点生产区域作业,作业导致三相短路或开关拒动,作业导致三相短路，以及作业不当遗留开关拒动隐患
26,变电,检修,设备吊装、高空作业等可能与500kV交流带电设备安全距离不足的作业,防范三相短路单相拒动关键站点生产区域作业,作业导致三相短路或开关拒动,作业导致三相短路，以及作业不当遗留开关拒动隐患
27,变电,检修,可能导致500kV交流带电设备绝缘破坏的作业,防范三相短路单相拒动关键站点生产区域作业,作业导致三相短路或开关拒动,作业导致三相短路，以及作业不当遗留开关拒动隐患
28,变电,检修,可能产生异物、漂浮物掉落至500kV带电设备上的作业,防范三相短路单相拒动关键站点生产区域作业,作业导致三相短路或开关拒动,作业导致三相短路，以及作业不当遗留开关拒动隐患
29,变电,检修,其他经风险评估可能导致三相短路或开关拒动的作业,防范三相短路单相拒动关键站点生产区域作业,作业导致三相短路或开关拒动,作业导致三相短路，以及作业不当遗留开关拒动隐患
30,变电,操作,倒换母线操作、倒换站用电以及切换低压直流电源等操作,防范全站失压关键站点作业,作业导致全站失压,作业导致全站失压
31,变电,检修,在交流系统低压直流电源上的作业以及可能导致交直流串电的作业,防范全站失压关键站点作业,作业导致全站失压,作业导致全站失压
32,变电,检修,在电缆沟、电缆夹层等控制保护电缆密集处开展土建施工等可能引发电缆绝缘损坏或短路的作业,防范全站失压关键站点作业,作业导致全站失压,作业导致全站失压
33,变电,检修,生产区域内动火、切割、焊接作业,防范全站失压关键站点作业,作业导致全站失压,作业导致全站失压
34,变电,检修,其他经评估可能导致全站失压的作业,防范全站失压关键站点作业,作业导致全站失压,作业导致全站失压
35,输电,基坑开挖,周边 3 米范围存在燃气、电缆、通讯管线等不利环境基坑机械开挖（基坑），可能造成燃气、电缆、通讯管线等裸露的，或存在与燃气、电缆、通讯管线等垂直交叉的。,作业范围内存在燃气设施及带电运行设备,燃气泄漏导致爆燃，电缆带电线路失压，作业方法不当，造成燃气爆燃带电设备失压
36,输电,起重吊装及安装拆卸工程,邻近电力运行设备吊装，吊机旋转半径可能达到运行安全距离的吊装作业,作业范围内存在带电设备,作业邻近带电设备失压,作业方法不当，人员或工具与带电设备距离过近，造成带电设备失压
37,输电,跨越架工程,跨越 110 千伏及以上脚手架（跨越架）搭设及使用,脚手架倾倒范围内存在带电运行设备,脚手架倾倒范围内带电设备失压,脚手架倾倒误碰带电设备导致失压
38,输电,跨越架工程,新型及异型脚手架工程搭设及使用,新型及异型脚手架倾倒范围内存在带电运行设备,新型及异型脚手架倾倒范围内带电设备失压,新型及异型脚手架倾倒误碰带电设备导致失压。
39,输电,跨越架工程,跨越架搭设高度超过 15m 工程,跨越架倾倒范围内存在带电运行设备,跨越架倾倒范围内带电设备失压,跨越架倾倒误碰带电设备导致失压
40,输电,拆除、爆破工程,影响人、交通、燃气设施、电力设施、通讯设施或其他建（构）筑物安全的拆除工程,拆除范围内存在燃气设施及带电运行设备,拆除作业导致带电运行设备失压,拆除作业误碰带电运行设备导致失压
41,输电,其它,架设、更换或拆除导地线施工跨越重要铁路（含普通铁路、高铁、地铁等）、航道、高速公路、重要建构筑物、110kV 及以上带电跨越等,作业范围内存在带电运行设备,作业导致带电运行设备失压,作业误碰带电运行设备导致失压
42,输电,其它,复杂环境（包括夜间施工、人口稠密区域、重要交通区域、临近高压带电体等）组（拆）塔及放线（拆线）施工,作业范围内存在带电运行设备,作业导致带电运行设备失压,作业误碰带电运行设备导致失压
43,输电,其它,首次采用新技术、新工艺、新材料、新设备及尚无相关技术标准的危险性较大的分部分项工程,作业范围内存在带电运行设备,作业导致带电运行设备失压,作业误碰带电运行设备导致失压
44,输电,其它,按跨越高塔设计且高度超过 80m 的铁塔组立工程（当组塔高度超过60米时按中风险管控）,作业范围内存在带电运行设备,作业导致带电运行设备失压,作业误碰带电运行设备导致失压
45,输电,其它,按大跨越设计的大跨越工程,作业范围内存在带电运行设备,作业导致带电运行设备失压,作业误碰带电运行设备导致失压
46,输电,其它,500kV 及以上停电跨越工程,作业范围内存在带电运行设备,作业导致带电运行设备失压,作业误碰带电运行设备导致失压
47,输电,其它,架空线路带电拆接（更换）导地线、光缆引流线,作业范围内存在带电运行设备,作业导致带电运行设备失压,作业误碰带电运行设备导致失压
48,输电,其它,架空线路杆塔带电安装在线监测装置（需触碰绝缘子、导线的作业，如安装分布式故障监测装置及更换覆冰监测装置等）,作业范围内存在带电运行设备,作业导致带电运行设备失压,作业误碰带电运行设备导致失压
49,输电,其它,架空线路带电安装、更换避雷器,作业范围内存在带电运行设备,作业导致带电运行设备失压,作业误碰带电运行设备导致失压
50,输电,其它,架空线路杆塔倾斜调整（带电作业）,杆塔倾倒范围内存在带电运行设备,杆塔倾倒范围内带电设备失压,杆塔倾倒误碰带电设备导致失压
51,输电,其他,双回线路N-1运行方式下在带电线路、临近带电线路的作业,年运行方式明确的关键设备和重要设备（线路）、海南联网双回线路N-1运行方式下,导致关键线路和重要线路双回线路N-2故障,双回线路N-1运行方式下，在带电线路邻近区域，开展可能存在作业安全距离不足的作业导致关键线路和重要线路双回线路N-2故障。
