表名,表注释,字段名,数据类型,是否可空,键类型,字段注释
pmc_project,投资项目表_超高压,voltage_grade,varchar,YES,,电压等级(80：1000KV；70：正负800KV；60：正负500KV；50：220KV；40：110KV；30：35KV；20：20KV；10：10KV及以下；5：其他)
pmc_project,投资项目表_超高压,reply_year,varchar,YES,,立项年度
pmc_project,投资项目表_超高压,creator_id,varchar,YES,,创建人ID
pmc_project,投资项目表_超高压,dm_marked,varchar,YES,,主/配网（1主网，2配网）
pmc_project,投资项目表_超高压,apply_dept,varchar,YES,,申请部门
pmc_project,投资项目表_超高压,project_cost_notax,decimal,YES,,项目不含税成本性(元)
pmc_project,投资项目表_超高压,cons_dept,longtext,YES,,建设单位
pmc_project,投资项目表_超高压,final_accounts_plan_id,varchar,YES,,决算ID
pmc_project,投资项目表_超高压,project_cost_tax,decimal,YES,,项目含税成本性(元)
pmc_project,投资项目表_超高压,is_virtual_pro,varchar,YES,,是否虚拟项目：1是，2否
pmc_project,投资项目表_超高压,data_from,varchar,YES,,数据来源
pmc_project,投资项目表_超高压,project_urgent_degree,varchar,YES,,项目优选类别
pmc_project,投资项目表_超高压,update_time,datetime,YES,,修改时间
pmc_project,投资项目表_超高压,turn_solid_plan_amount,decimal,YES,,正式转固金额
pmc_project,投资项目表_超高压,provisional_plan_date,datetime,YES,,暂估增资时间
pmc_project,投资项目表_超高压,owners_id_ps,varchar,YES,,业主项目部主键
pmc_project,投资项目表_超高压,creator,varchar,YES,,创建人
pmc_project,投资项目表_超高压,ipms_project_id,varchar,YES,,投资计划系统下达的项目ID
pmc_project,投资项目表_超高压,project_capital_notax,decimal,YES,,项目不含税资本性(元)
pmc_project,投资项目表_超高压,first_year_invest,decimal,YES,,年度计划投资(元)
pmc_project,投资项目表_超高压,turn_solid_plan_odd,varchar,YES,,正式转固单号
pmc_project,投资项目表_超高压,apply_dept_code,text,YES,,申请部门编码
pmc_project,投资项目表_超高压,end_time,datetime,YES,,结束时间
pmc_project,投资项目表_超高压,reply_year_date,datetime,YES,,投资下达年份
pmc_project,投资项目表_超高压,cw_id,varchar,YES,,财务唯一字段
pmc_project,投资项目表_超高压,release_status,varchar,YES,,下达状态（辅助其他系统获取）
pmc_project,投资项目表_超高压,imprest,decimal,YES,,备用金(元)
pmc_project,投资项目表_超高压,project_charger,varchar,YES,,项目负责人
pmc_project,投资项目表_超高压,modifier_id,varchar,YES,,修改人ID
pmc_project,投资项目表_超高压,apply_dept_id,varchar,YES,,申请部门标识
pmc_project,投资项目表_超高压,prj_status,varchar,YES,,项目阶段：规划-1、前期-2、投资-3、投产-4
pmc_project,投资项目表_超高压,final_accounts_plan_date,datetime,YES,,决算计划时间
pmc_project,投资项目表_超高压,exigence_proj,varchar,YES,,是否紧急项目（1：年度项目 2：紧急项目）
pmc_project,投资项目表_超高压,project_amount,decimal,YES,,项目总投资(元)
pmc_project,投资项目表_超高压,is_prepare_dist,varchar,YES,,是否预下达（1-是 2-否）（全部条线）
pmc_project,投资项目表_超高压,modifier,varchar,YES,,修改人
pmc_project,投资项目表_超高压,approval_level,varchar,YES,,决策层级(1-地市，2-分省，3-网公司)
pmc_project,投资项目表_超高压,construct_time,datetime,YES,,竣工验收时间
pmc_project,投资项目表_超高压,imprest_source,varchar,YES,,"备用金来源(3-省公司紧急项目预备费,2-地市局紧急项目预备费)"
pmc_project,投资项目表_超高压,province_code,varchar,YES,,分子公司编码
pmc_project,投资项目表_超高压,provisional_plan_odd,varchar,YES,,暂估转固单号
pmc_project,投资项目表_超高压,business_segments,varchar,YES,,板块类型(1：管制业务，2：新兴业务，3：金融业务，4：国际业务，5：共享服务平台业务，6：股权投资)
pmc_project,投资项目表_超高压,project_capital_tax,decimal,YES,,项目含税资本性(元)
pmc_project,投资项目表_超高压,cons_dept_code,longtext,YES,,建设单位编码
pmc_project,投资项目表_超高压,import_performan_project,varchar,YES,,重点履约项目（1网2省3地）
pmc_project,投资项目表_超高压,delete_flag,varchar,YES,,删除标识：1正常；2已删除
pmc_project,投资项目表_超高压,build_type,varchar,YES,,"建设性质(1-新建,2续建)"
pmc_project,投资项目表_超高压,exe_dept_code,varchar,YES,,实施部门编码
pmc_project,投资项目表_超高压,settlement_date,datetime,YES,,结算时间
pmc_project,投资项目表_超高压,create_time,datetime,YES,,创建时间
pmc_project,投资项目表_超高压,turn_solid_plan_date,datetime,YES,,正式增资时间
pmc_project,投资项目表_超高压,project_code,varchar,YES,,项目编码
pmc_project,投资项目表_超高压,build_addr_other,longtext,YES,,建设地址其他
pmc_project,投资项目表_超高压,subjoin_plan_year,varchar,YES,,计划年度
pmc_project,投资项目表_超高压,data_flag,varchar,YES,,标识字段
pmc_project,投资项目表_超高压,total_year_invest,decimal,YES,,计划安排投资-小计
pmc_project,投资项目表_超高压,settle_dept_code,longtext,YES,,结算单位编码
pmc_project,投资项目表_超高压,turn_solid_date,datetime,YES,,转固计划时间
pmc_project,投资项目表_超高压,provisional_plan_amount,decimal,YES,,暂估转固金额
pmc_project,投资项目表_超高压,settle_dept_id,varchar,YES,,结算单位标识
pmc_project,投资项目表_超高压,exe_dept_id,varchar,YES,,实施部门ID
pmc_project,投资项目表_超高压,epms_project_id,varchar,YES,,工程系统项目流水号
pmc_project,投资项目表_超高压,project_stream_date,datetime,YES,,投产时间
pmc_project,投资项目表_超高压,project_amount_cost,decimal,YES,,项目成本性(元)
pmc_project,投资项目表_超高压,settlement_plan_date,datetime,YES,,结算计划时间
pmc_project,投资项目表_超高压,optimistic_lock_version,varchar,YES,,乐观锁版本
pmc_project,投资项目表_超高压,project_purpose,varchar,YES,,"项目目的(18-粤港澳大湾区200kVA以下延伸到低压,19-保底电网,20-架空线改电缆、线路迁改,21-不在上述范围，但为满足三大指标项目,22-其它,1-解决安全隐患,2-智能电网（含配电自动化）,3-配电网通信,4-低电压治理,5-提高抗灾能力和保供电,6-残旧线路设备改造,7-计量自动化、智能电表等,8-低压集抄,9-解决高压变电站、线路重过载问题,10-解决中低压线路设备重过载问题,11-异地扶贫搬迁、产业扶贫配套电网投资,12-其他满足负荷增长投资,13-高铁、电铁、城轨等大用户接入,14-光伏扶贫电源配套送出,15-可再生能源送出,16-其他可再生能源送出,17-投资界面延伸到红线)"
pmc_project,投资项目表_超高压,exe_dept,longtext,YES,,实施部门
pmc_project,投资项目表_超高压,fund_source,varchar,YES,,"资金来源(1-省（子）公司投资,2-省（子）公司所属子公司自筹,9-用户出资,1-子公司投资(自筹),2-子公司投资(县级子公司投资),9-专项建设基金,1-分子公司投资,2-自筹资金,3-网公司投资,1-网公司投资,2-分子公司投资,9-专项建设基金,9-专项建设基金,1-分子公司投资,2-自筹资金,3-网公司投资,1-省级公司投资,2-子公司自筹,9-专项建设基金,1-省级公司投资,2-子公司自筹,9-专项建设基金,5-网公司投资,8-其他,1-分子公司投资,2-自筹资金,3-网公司投资,5-网公司投资,2-自筹,8-其他,5-网公司投资,2-自筹,8-其他,1-省级公司投资,2-子公司自筹,9-专项建设基金,1-省级公司投资,2-子公司自筹,9-专项建设基金,5-网公司投资,2-自筹,8-其他,21-中央投资农网,22-中央投资无电,23-中央投资其他,24-网公司投资,07-其他,20-中央投资城网,26-子公司投资,25-省公司投资,1-省（子）公司投资,2-省（子）公司所属子公司自筹,1-省级公司投资,2-子公司自筹,9-专项建设基金,1-省级公司投资,2-子公司自筹,1-省级公司投资,2-子公司自筹,9-专项建设基金,1-省级公司投资,2-子公司自筹,1-子公司投资(自筹),2-子公司投资(县级子公司投资),9-专项建设基金,2-子公司投资（自筹资金）,5-网公司投资（自筹资金）,1-省级公司投资（自筹资金）,3-国拨经费,9-专项建设基金(自筹资金),1-国拨经费网公司投资（自筹资金）,2-省公司投资（自筹资金）,3-子公司投资（自筹资金）,4-专项建设基金（自筹资金）,3-网公司投资(自筹资金),1-省公司投资(自筹资金),2-子公司投资(自筹资金),9-专项建设基金(自筹资金),1-分子公司投资,2-自筹资金,3-网公司投资)"
pmc_project,投资项目表_超高压,project_type_number,varchar,YES,,所属专业条线1：主网基建；2：配网基建；3：信息化项目；4：项目营销中间层；5：修理项目；6：科技项目/创新项目7：营销修理项目/营销费用；8：股权投资项目；9：试验检验项目；10：委托运行维护；11：电源项目；12：其他材料购置项目；13：新兴产业项目；14：生产技改项目；15：小型基建项目；16：迁改项目；17：营销技改项目；18：其他技改项目；19：其他修理；20：其他项目；
pmc_project,投资项目表_超高压,reply_date,datetime,YES,,回复日期
pmc_project,投资项目表_超高压,before_year_invest,decimal,YES,,计划安排投资-截至上年底累计
pmc_project,投资项目表_超高压,sub_dept,longtext,YES,,区局单位名称
pmc_project,投资项目表_超高压,provisional_date,datetime,YES,,暂估计划时间
pmc_project,投资项目表_超高压,project_amount_capital,decimal,YES,,项目资本性(元)
pmc_project,投资项目表_超高压,sub_dept_code,varchar,YES,,区局单位编码
pmc_project,投资项目表_超高压,begin_time,datetime,YES,,开始时间
pmc_project,投资项目表_超高压,sub_dept_id,varchar,YES,,区局单位
pmc_project,投资项目表_超高压,build_addr_area,longtext,YES,,建设地址区域编码
pmc_project,投资项目表_超高压,is_use_imprest,varchar,YES,,是否使用备用金(1.是 2.否)
sp_mp_cycle_rule,管理计划周期规则表,id,varchar,NO,PRI,主键ID
sp_mp_cycle_rule,管理计划周期规则表,create_time,datetime,YES,,创建时间
sp_mp_cycle_rule,管理计划周期规则表,updator_name,varchar,YES,,更新人名称
sp_mp_cycle_rule,管理计划周期规则表,bureau_code,varchar,YES,,局编码
sp_mp_cycle_rule,管理计划周期规则表,cycle_type,varchar,YES,,周期类型(1. 年、2. 月、3. 周、4. 日)
sp_mp_cycle_rule,管理计划周期规则表,province_code,varchar,YES,,省编码
sp_mp_cycle_rule,管理计划周期规则表,updator_id,varchar,YES,,更新人ID
sp_mp_cycle_rule,管理计划周期规则表,data_from,varchar,YES,,数据来源
sp_mp_cycle_rule,管理计划周期规则表,cycle_end_time,datetime,YES,,循环结束时间
sp_mp_cycle_rule,管理计划周期规则表,update_time,datetime,YES,,数据更新时间
sp_mp_cycle_rule,管理计划周期规则表,optimistic_lock_version,varchar,YES,,乐观锁版本
sp_mp_cycle_rule,管理计划周期规则表,cycle_num,varchar,YES,,周期长度(如每隔多少年、月、周、日生成计划， 每年、月、周、日设置0即可)
sp_mp_cycle_rule,管理计划周期规则表,creator_id,varchar,YES,,创建人ID
sp_mp_cycle_rule,管理计划周期规则表,cycle_start_time,datetime,YES,,循环开始时间
sp_mp_cycle_rule,管理计划周期规则表,creator_name,varchar,YES,,创建人名称
sp_mp_cycle_rule_detail,管理计划周期规则明细表,id,varchar,NO,PRI,主键ID
sp_mp_cycle_rule_detail,管理计划周期规则明细表,updator_name,varchar,YES,,更新人名称
sp_mp_cycle_rule_detail,管理计划周期规则明细表,create_time,datetime,YES,,创建时间
sp_mp_cycle_rule_detail,管理计划周期规则明细表,bureau_code,varchar,YES,,局编码
sp_mp_cycle_rule_detail,管理计划周期规则明细表,province_code,varchar,YES,,省编码
sp_mp_cycle_rule_detail,管理计划周期规则明细表,updator_id,varchar,YES,,更新人ID
sp_mp_cycle_rule_detail,管理计划周期规则明细表,data_from,varchar,YES,,数据来源
sp_mp_cycle_rule_detail,管理计划周期规则明细表,rule_id,varchar,YES,,规则主键
sp_mp_cycle_rule_detail,管理计划周期规则明细表,update_time,datetime,YES,,数据更新时间
sp_mp_cycle_rule_detail,管理计划周期规则明细表,optimistic_lock_version,varchar,YES,,乐观锁版本
sp_mp_cycle_rule_detail,管理计划周期规则明细表,work_day,varchar,YES,,工作日期，只有年周期才有工作日期
sp_mp_cycle_rule_detail,管理计划周期规则明细表,creator_id,varchar,YES,,创建人ID
sp_mp_cycle_rule_detail,管理计划周期规则明细表,cycle_rule_detail,varchar,YES,,频率明细(年周期的明细记录的是1-12；月周期的明细为1-31)；周周期的的明细为1-7
sp_mp_cycle_rule_detail,管理计划周期规则明细表,creator_name,varchar,YES,,创建人名称
sp_mp_period,管理计划周期,id,varchar,NO,PRI,主键ID
sp_mp_period,管理计划周期,dept_code,varchar,YES,,部门CODE
sp_mp_period,管理计划周期,define_basis,varchar,YES,,编制依据1-管理制度2-管理表单3-常态化检查4-部门管理要求
sp_mp_period,管理计划周期,process_ins_id,varchar,YES,,流程实例主键
sp_mp_period,管理计划周期,is_new_power,varchar,YES,,是否新电力
sp_mp_period,管理计划周期,remark,longtext,YES,,备注
sp_mp_period,管理计划周期,resp_oname,varchar,YES,,责任单位名称
sp_mp_period,管理计划周期,province_code,varchar,YES,,省编码
sp_mp_period,管理计划周期,data_from,varchar,YES,,数据来源
sp_mp_period,管理计划周期,work_day_type,varchar,YES,,工期类型1-天，2-周，3-月，4-季度，5-年
sp_mp_period,管理计划周期,update_time,datetime,YES,,数据更新时间
sp_mp_period,管理计划周期,data_belong_unit_oname,varchar,YES,,数据归口单位
sp_mp_period,管理计划周期,optimistic_lock_version,varchar,YES,,乐观锁版本
sp_mp_period,管理计划周期,loop_start_time,datetime,YES,,循环开始时间
sp_mp_period,管理计划周期,work_content,varchar,YES,,管理计划周期工作内容
sp_mp_period,管理计划周期,souce_id,varchar,YES,,来源主键 如 标准岗位周期主键
sp_mp_period,管理计划周期,work_require,longtext,YES,,任务要求
sp_mp_period,管理计划周期,businesstype_id,varchar,YES,,业务分类_主键
sp_mp_period,管理计划周期,create_time,datetime,YES,,创建时间
sp_mp_period,管理计划周期,updator_name,varchar,YES,,更新人名称
sp_mp_period,管理计划周期,bureau_code,varchar,YES,,局编码
sp_mp_period,管理计划周期,need_distribution,varchar,YES,,是否需分解
sp_mp_period,管理计划周期,dept_name,varchar,YES,,部门名称
sp_mp_period,管理计划周期,updator_id,varchar,YES,,更新人ID
sp_mp_period,管理计划周期,rule_id,varchar,YES,,规则主键
sp_mp_period,管理计划周期,flow_state,varchar,YES,,工作流状态
sp_mp_period,管理计划周期,resp_oid,varchar,YES,,责任单位主键
sp_mp_period,管理计划周期,define_basis_detail,varchar,YES,,编制依据明细
sp_mp_period,管理计划周期,work_day,varchar,YES,,工期
sp_mp_period,管理计划周期,data_belong_unit_ocode,varchar,YES,,数据归口单位编码
sp_mp_period,管理计划周期,post_responsibility,varchar,YES,,责任岗位
sp_mp_period,管理计划周期,resp_code,varchar,YES,,责任单位code
sp_mp_period,管理计划周期,org_level,varchar,YES,,层面：省公司、地市局、县局
sp_mp_period,管理计划周期,creator_id,varchar,YES,,创建人ID
sp_mp_period,管理计划周期,creator_name,varchar,YES,,创建人名称
sp_mp_period,管理计划周期,loop_end_time,datetime,YES,,循环结束时间
sp_mp_period,管理计划周期,dept_id,varchar,YES,,部门主键
sp_mp_period,管理计划周期,status,varchar,YES,,状态1-编辑，2-审核中，3-启用，4-停用
sp_pd_defect,设备缺陷表,id,varchar,NO,PRI,主键
sp_pd_defect,设备缺陷表,dept_code,varchar,YES,,部门编码
sp_pd_defect,设备缺陷表,defect_type_name,longtext,YES,,缺陷类型
sp_pd_defect,设备缺陷表,defect_type_id,varchar,YES,,缺陷类型ID
sp_pd_defect,设备缺陷表,deal_team_oid,varchar,YES,,消缺班组ID
sp_pd_defect,设备缺陷表,province_code,varchar,YES,,省编码
sp_pd_defect,设备缺陷表,bureau_name,varchar,YES,,地市局名称
sp_pd_defect,设备缺陷表,function_location_name,longtext,YES,,功能位置名称
sp_pd_defect,设备缺陷表,team_oname,varchar,YES,,班组名称
sp_pd_defect,设备缺陷表,undeal_reason,longtext,YES,,未消缺原因，消缺结果为未消缺时，需要填写未消缺原因
sp_pd_defect,设备缺陷表,state,varchar,YES,,缺陷单状态（1：待上报；2：待审批；3：待安排消缺；4：已安排消缺；5：待验收；6：已归档；7：已删除；8：缺陷记录审核；9：计划消缺；10：备品备件确认）
sp_pd_defect,设备缺陷表,report_team_code,varchar,YES,,上报班组编码
sp_pd_defect,设备缺陷表,is_relocation_project,varchar,YES,,是否迁改工程（1：否；2：是）
sp_pd_defect,设备缺陷表,report_team_oname,varchar,YES,,上报班组名称
sp_pd_defect,设备缺陷表,deal_team_code,varchar,YES,,消缺班组编码
sp_pd_defect,设备缺陷表,create_time,datetime,YES,,创建时间
sp_pd_defect,设备缺陷表,checker_uid,varchar,YES,,验收人ID，验收阶段必填
sp_pd_defect,设备缺陷表,device_id,varchar,YES,,设备ID，单选
sp_pd_defect,设备缺陷表,defect_source_type,varchar,YES,,缺陷数据来源，0：手动录入；1：缺陷降级；2：安全督察；3：生产计划；4：OMS；5：通信管控；6：慧图；7：项目遗留缺陷； 8：多维度分析；9：旧机巡；10：云南机器人；11：无人机；12：新机巡；13：四统一；14：深圳机器人；15：贵州中为机巡;16:广州OMS继保
sp_pd_defect,设备缺陷表,undeal_result,varchar,YES,,未消缺原因 1：待停电 2：待备品 3:待联系厂家 4:待结合技改 5:待结合基建 6:待联系其他专业配合
sp_pd_defect,设备缺陷表,has_retro,varchar,YES,,补登记录（1：否；2：是）
